text,pos_tagged
전년말 대비 개 기업이 증가하고 개 기업이 감소했습니다,"[('전', 'Modifier'), ('년말', 'Noun'), ('대비', 'Noun'), ('22', 'Number'), ('개', 'Noun'), ('기업', 'Noun'), ('이', 'Josa'), ('증가', 'Noun'), ('하고', 'Josa'), ('1', 'Number'), ('개', 'Noun'), ('기업', 'Noun'), ('이', 'Josa'), ('감소', 'Noun'), ('했습니다', 'Verb')]"
연결대상회사의 변동내용구 분자회사사 유신규연결유문피아웹툰문화산업전문회사신규취득에 따른 지배력 획득슈퍼랩스 주식회사신규설립에 따른 지배력 획득스프링캠프 초기전문 투자조합 제호신규설립에 따른 지배력 획득엠콘텐츠랩스 주식회사신규취득에 따른 지배력 획득유한회사 로커스극장애니문화산업전문회사신규취득에 따른 지배력 획득주식회사 로커스신규취득에 따른 지배력 획득주식회사 문피아신규취득에 따른 지배력 획득주식회사 스튜디오제이에이치에스신규취득에 따른 지배력 획득주식회사 싸이더스신규취득에 따른 지배력 획득주식회사 로커스엑스구 주식회사 싸이더스스튜디오엑스신규취득에 따른 지배력 획득주식회사 작가컴퍼니신규취득에 따른 지배력 획득팹 주식회사신규취득에 따른 지배력 획득Beijing Metaverse China Technology Corporation신규설립에 따른 지배력 획득Chengdu NCC Technology Corporation신규설립에 따른 지배력 획득eBOOK Initiative Japan Co,"[('연결', 'Noun'), ('대', 'Modifier'), ('상회사', 'Noun'), ('의', 'Josa'), ('변동', 'Noun'), ('내', 'Determiner'), ('용구', 'Noun'), ('분자', 'Noun'), ('회사', 'Noun'), ('사', 'Noun'), ('유', 'Noun'), ('신규', 'Noun'), ('연결', 'Noun'), ('유문', 'Noun'), ('피아', 'Noun'), ('웹툰', 'Noun'), ('문화', 'Noun'), ('산업', 'Noun'), ('전문', 'Noun'), ('회사', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('슈퍼', 'Noun'), ('랩스', 'Noun'), ('주식회사', 'Noun'), ('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('스프링', 'Noun'), ('캠프', 'Noun'), ('초기', 'Noun'), ('전문', 'Noun'), ('투자', 'Noun'), ('조합', 'Noun'), ('제', 'Noun'), ('4', 'Number'), ('호', 'Noun'), ('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('엠', 'Noun'), ('콘텐츠', 'Noun'), ('랩스', 'Noun'), ('주식회사', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('유한회사', 'Noun'), ('로커', 'Noun'), ('스', 'Noun'), ('극장', 'Noun'), ('애니', 'Noun'), ('2015', 'Number'), ('문화', 'Noun'), ('산업', 'Noun'), ('전', 'Modifier'), ('문', 'Modifier'), ('회사', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('주식회사', 'Noun'), ('로커', 'Noun'), ('스', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('주식회사', 'Noun'), ('문', 'Modifier'), ('피아', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('주식회사', 'Noun'), ('스튜디오', 'Noun'), ('제이에이치', 'Noun'), ('에스', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('주식회사', 'Noun'), ('싸이더스', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('주식회사', 'Noun'), ('로커', 'Noun'), ('스', 'Noun'), ('엑스', 'Noun'), ('구', 'Noun'), ('주식회사', 'Noun'), ('싸이더스', 'Noun'), ('스튜디오', 'Noun'), ('엑스', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('주식회사', 'Noun'), ('작가', 'Noun'), ('컴퍼니', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('팹', 'Noun'), ('주식회사', 'Noun'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('Beijing', 'Alpha'), ('Metaverse', 'Alpha'), ('China', 'Alpha'), ('Technology', 'Alpha'), ('Corporation', 'Alpha'), ('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('Chengdu', 'Alpha'), ('NCC', 'Alpha'), ('Technology', 'Alpha'), ('Corporation', 'Alpha'), ('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('eBOOK', 'Alpha'), ('Initiative', 'Alpha'), ('Japan', 'Alpha'), ('Co', 'Alpha')]"
신규취득에 따른 지배력 획득LINE WEBTOON STUDIO Inc,"[('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('LINE', 'Alpha'), ('WEBTOON', 'Alpha'), ('STUDIO', 'Alpha'), ('Inc', 'Alpha')]"
신규설립에 따른 지배력 획득Locus Shanghai Corporation신규취득에 따른 지배력 획득NAVER Z JAPAN Corporation,"[('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('Locus', 'Alpha'), ('Shanghai', 'Alpha'), ('Corporation', 'Alpha'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('NAVER', 'Alpha'), ('Z', 'Alpha'), ('JAPAN', 'Alpha'), ('Corporation', 'Alpha')]"
신규설립에 따른 지배력 획득NAVER Z Limited신규설립에 따른 지배력 획득NW MEDIA CONTENTS INC,"[('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('NAVER', 'Alpha'), ('Z', 'Alpha'), ('Limited', 'Alpha'), ('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('NW', 'Alpha'), ('MEDIA', 'Alpha'), ('CONTENTS', 'Alpha'), ('INC', 'Alpha')]"
신규설립에 따른 지배력 획득Sidus and Teu Entertainment Joint Stock Company신규취득에 따른 지배력 획득ZaiZai Entertainment Corp,"[('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('Sidus', 'Alpha'), ('and', 'Alpha'), ('Teu', 'Alpha'), ('Entertainment', 'Alpha'), ('Joint', 'Alpha'), ('Stock', 'Alpha'), ('Company', 'Alpha'), ('신규', 'Noun'), ('취득', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('ZaiZai', 'Alpha'), ('Entertainment', 'Alpha'), ('Corp', 'Alpha')]"
신규설립에 따른 지배력 획득연결제외Wattsub Corporation피합병나,"[('신규', 'Noun'), ('설립', 'Noun'), ('에', 'Josa'), ('따른', 'Verb'), ('지배', 'Noun'), ('력', 'Suffix'), ('획득', 'Noun'), ('연결', 'Noun'), ('제외', 'Noun'), ('Wattsub', 'Alpha'), ('Corporation', 'Alpha'), ('피', 'Noun'), ('합병', 'Noun'), ('나', 'Josa')]"
설립일자 존속기간당사는    설립되었으며   에 주식을 코스닥시장KOSDAQ에 상장하고   자로 유가증권시장KOSPI에 주식을 이전 상장하였습니다,"[('설립', 'Noun'), ('일자', 'Noun'), ('존속', 'Noun'), ('기간', 'Noun'), ('당사', 'Noun'), ('는', 'Josa'), ('1999년', 'Number'), ('6월', 'Number'), ('2일', 'Number'), ('설립', 'Noun'), ('되었으며', 'Verb'), ('2002년', 'Number'), ('10월', 'Number'), ('29일', 'Number'), ('에', 'Foreign'), ('주식', 'Noun'), ('을', 'Josa'), ('코스닥시장', 'Noun'), ('KOSDAQ', 'Alpha'), ('에', 'Josa'), ('상장', 'Noun'), ('하고', 'Josa'), ('2008년', 'Number'), ('11월', 'Number'), ('28일', 'Number'), ('자로', 'Foreign'), ('유가', 'Noun'), ('증권', 'Noun'), ('시장', 'Noun'), ('KOSPI', 'Alpha'), ('에', 'Josa'), ('주식', 'Noun'), ('을', 'Josa'), ('이전', 'Noun'), ('상장', 'Noun'), ('하였습니다', 'Verb')]"
당사는   을 분할기일로 한게임 사업부문을 인적분할하여 존속법인은 네이버로 신설법인은 구엔에이치엔엔터테인먼트로 하였습니다,"[('당사', 'Noun'), ('는', 'Josa'), ('2013년', 'Number'), ('8월', 'Number'), ('1일', 'Number'), ('을', 'Foreign'), ('분할', 'Noun'), ('기', 'Modifier'), ('일로', 'Noun'), ('한게임', 'Noun'), ('사업', 'Noun'), ('부문', 'Noun'), ('을', 'Josa'), ('인적', 'Noun'), ('분할', 'Noun'), ('하', 'Suffix'), ('여', 'Josa'), ('존속', 'Noun'), ('법인', 'Noun'), ('은', 'Josa'), ('네이버', 'Noun'), ('로', 'Josa'), ('신', 'Modifier'), ('설법', 'Noun'), ('인', 'Suffix'), ('은', 'Josa'), ('구', 'Modifier'), ('엔에이치엔', 'Noun'), ('엔터테인먼트', 'Noun'), ('로', 'Josa'), ('하였습니다', 'Verb')]"
존속 신설법인은    유가증권시장KOSPI에 변경상장 재상장되었습니다,"[('존속', 'Noun'), ('신', 'Modifier'), ('설법', 'Noun'), ('인', 'Suffix'), ('은', 'Josa'), ('2013년', 'Number'), ('8월', 'Number'), ('29일', 'Number'), ('유가', 'Noun'), ('증권', 'Noun'), ('시장', 'Noun'), ('KOSPI', 'Alpha'), ('에', 'Josa'), ('변경', 'Noun'), ('상장', 'Noun'), ('재상', 'Noun'), ('장', 'Suffix'), ('되었습니다', 'Verb')]"
